"Field Heading","Field Name"
"Rshp_NRUPZ","Percent Margin of Error; RELATIONSHIP - Population in households - Nonrelatives - Unmarried partner"
"MS_M15plE","Estimate; MARITAL STATUS - Males 15 years and over"
"MS_M15plM","Margin of Error; MARITAL STATUS - Males 15 years and over"
"MS_M15plP","Percent; MARITAL STATUS - Males 15 years and over"
"MS_M15plZ","Percent Margin of Error; MARITAL STATUS - Males 15 years and over"
"MS_MNvMrdE","Estimate; MARITAL STATUS - Males 15 years and over - Never married"
"MS_MNvMrdM","Margin of Error; MARITAL STATUS - Males 15 years and over - Never married"
"MS_MNvMrdP","Percent; MARITAL STATUS - Males 15 years and over - Never married"
"MS_MNvMrdZ","Percent Margin of Error; MARITAL STATUS - Males 15 years and over - Never married"
"MS_MMrdSpE","Estimate; MARITAL STATUS - Males 15 years and over - Now married, except separated"
"MS_MMrdSpM","Margin of Error; MARITAL STATUS - Males 15 years and over - Now married, except separated"
"MS_MMrdSpP","Percent; MARITAL STATUS - Males 15 years and over - Now married, except separated"
"MS_MMrdSpZ","Percent Margin of Error; MARITAL STATUS - Males 15 years and over - Now married, except separated"
"MS_MSpE","Estimate; MARITAL STATUS - Males 15 years and over - Separated"
"MS_MSpM","Margin of Error; MARITAL STATUS - Males 15 years and over - Separated"
"MS_MSpP","Percent; MARITAL STATUS - Males 15 years and over - Separated"
"MS_MSpZ","Percent Margin of Error; MARITAL STATUS - Males 15 years and over - Separated"
"MS_MWdE","Estimate; MARITAL STATUS - Males 15 years and over - Widowed"
"MS_MWdM","Margin of Error; MARITAL STATUS - Males 15 years and over - Widowed"
"MS_MWdP","Percent; MARITAL STATUS - Males 15 years and over - Widowed"
"MS_MWdZ","Percent Margin of Error; MARITAL STATUS - Males 15 years and over - Widowed"
"MS_MDvcdE","Estimate; MARITAL STATUS - Males 15 years and over - Divorced"
"MS_MDvcdM","Margin of Error; MARITAL STATUS - Males 15 years and over - Divorced"
"MS_MDvcdP","Percent; MARITAL STATUS - Males 15 years and over - Divorced"
"MS_MDvcdZ","Percent Margin of Error; MARITAL STATUS - Males 15 years and over - Divorced"
"MS_F15plE","Estimate; MARITAL STATUS - Females 15 years and over"
"MS_F15plM","Margin of Error; MARITAL STATUS - Females 15 years and over"
"MS_F15plP","Percent; MARITAL STATUS - Females 15 years and over"
"MS_F15plZ","Percent Margin of Error; MARITAL STATUS - Females 15 years and over"
"MS_FNvMrdE","Estimate; MARITAL STATUS - Females 15 years and over - Never married"
"MS_FNvMrdM","Margin of Error; MARITAL STATUS - Females 15 years and over - Never married"
"MS_FNvMrdP","Percent; MARITAL STATUS - Females 15 years and over - Never married"
"MS_FNvMrdZ","Percent Margin of Error; MARITAL STATUS - Females 15 years and over - Never married"
"MS_FMrdSpE","Estimate; MARITAL STATUS - Females 15 years and over - Now married, except separated"
"MS_FMrdSpM","Margin of Error; MARITAL STATUS - Females 15 years and over - Now married, except separated"
"MS_FMrdSpP","Percent; MARITAL STATUS - Females 15 years and over - Now married, except separated"
"MS_FMrdSpZ","Percent Margin of Error; MARITAL STATUS - Females 15 years and over - Now married, except separated"
"MS_FSpE","Estimate; MARITAL STATUS - Females 15 years and over - Separated"
"MS_FSpM","Margin of Error; MARITAL STATUS - Females 15 years and over - Separated"
"MS_FSpP","Percent; MARITAL STATUS - Females 15 years and over - Separated"
"MS_FSpZ","Percent Margin of Error; MARITAL STATUS - Females 15 years and over - Separated"
"MS_FWdE","Estimate; MARITAL STATUS - Females 15 years and over - Widowed"
"MS_FWdM","Margin of Error; MARITAL STATUS - Females 15 years and over - Widowed"
"MS_FWdP","Percent; MARITAL STATUS - Females 15 years and over - Widowed"
"MS_FWdZ","Percent Margin of Error; MARITAL STATUS - Females 15 years and over - Widowed"
"MS_FDvcdE","Estimate; MARITAL STATUS - Females 15 years and over - Divorced"
"MS_FDvcdM","Margin of Error; MARITAL STATUS - Females 15 years and over - Divorced"
"MS_FDvcdP","Percent; MARITAL STATUS - Females 15 years and over - Divorced"
"MS_FDvcdZ","Percent Margin of Error; MARITAL STATUS - Females 15 years and over - Divorced"
"Birth1550E","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months"
"Birth1550M","Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months"
"Birth1550P","Percent; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months"
"Birth1550Z","Percent Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months"
"UmBir1550E","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married)"
"UmBir1550M","Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married)"
"UmBir1550P","Percent; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married)"
"UmBir1550Z","Percent Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married)"
"UnmBirRatE","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married) - Per 1,000 unmarried women"
"UnmBirRatM","Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married) - Per 1,000 unmarried women"
"UnmBirRatP","Percent; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married) - Per 1,000 unmarried women"
"UnmBirRatZ","Percent Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married) - Per 1,000 unmarried women"
"BRat1550E","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 50 years old"
"BRat1550M","Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 50 years old"
"BRat1550P","Percent; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 50 years old"
"BRat1550Z","Percent Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 50 years old"
"BRat1519E","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 19 years old"
"BRat1519M","Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 19 years old"
"BRat1519P","Percent; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 19 years old"
"BRat1519Z","Percent Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 19 years old"
"BRat2034E","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 20 to 34 years old"
"BRat2034M","Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 20 to 34 years old"
"BRat2034P","Percent; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 20 to 34 years old"
"BRat2034Z","Percent Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 20 to 34 years old"
"BRat3550E","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 35 to 50 years old"
"BRat3550M","Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 35 to 50 years old"
"BRat3550P","Percent; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 35 to 50 years old"
"BRat3550Z","Percent Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 35 to 50 years old"
"GpLGcU18E","Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years"
"GpLGcU18M","Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years"
"GpLGcU18P","Percent; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years"
"GpLGcU18Z","Percent Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years"
"GpRGcU18E","Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Responsible for grandchildren"
"GpRGcU18M","Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Responsible for grandchildren"
"GpRGcU18P","Percent; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Responsible for grandchildren"
"GpRGcU18Z","Percent Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Responsible for grandchildren"
"GpRGcU1YE","Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - Less than 1 year"
"GpRGcU1YM","Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - Less than 1 year"
"GpRGcU1YP","Percent; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - Less than 1 year"
"GpRGcU1YZ","Percent Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - Less than 1 year"
"GpRGc1t2YE","Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - 1 or 2 years"
"GpRGc1t2YM","Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - 1 or 2 years"
"GpRGc1t2YP","Percent; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - 1 or 2 years"
"GpRGc1t2YZ","Percent Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - 1 or 2 years"
"GpRGc3t4YE","Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - 3 or 4 years"
"GpRGc3t4YM","Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - 3 or 4 years"
"GpRGc3t4YP","Percent; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - 3 or 4 years"
"GpRGc3t4YZ","Percent Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - 3 or 4 years"
"GpRGc5plYE","Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - 5 or more years"
"GpRGc5plYM","Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - 5 or more years"
"GpRGc5plYP","Percent; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - 5 or more years"
"GpRGc5plYZ","Percent Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - 5 or more years"
"GpRGcU18E","Estimate; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years"
"GpRGcU18M","Margin of Error; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years"
"GpRGcU18P","Percent; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years"
"GpRGcU18Z","Percent Margin of Error; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years"
"GpFRGcE","Estimate; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years - Who are female"
"GpFRGcM","Margin of Error; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years - Who are female"
"GpFRGcP","Percent; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years - Who are female"
"GpFRGcZ","Percent Margin of Error; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years - Who are female"
"GpMrdRGcE","Estimate; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years - Who are married"
"GpMrdRGcM","Margin of Error; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years - Who are married"
"GpMrdRGcP","Percent; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years - Who are married"
"GpMrdRGcZ","Percent Margin of Error; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years - Who are married"
,
"GIS_2",
"Boro","Borough (3-digit Census code)"
"DCP_Boro","Borough (1-digit DCP code)"
"PUMA_ID","Public Use Microdata Area (4-digit Census code)"
"CD_Label","NYC Community District Number"
"CD_Name","NYC Community District Name"
"Pop3plEnE","Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school"
"Pop3plEnM","Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school"
"Pop3plEnP","Percent; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school"
"Pop3plEnZ","Percent Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school"
"SE_NScPScE","Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Nursery school, preschool"
"SE_NScPScM","Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Nursery school, preschool"
"SE_NScPScP","Percent; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Nursery school, preschool"
"SE_NScPScZ","Percent Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Nursery school, preschool"
"SE_KndgtnE","Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Kindergarten"
"SE_KndgtnM","Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Kindergarten"
"SE_KndgtnP","Percent; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Kindergarten"
"SE_KndgtnZ","Percent Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Kindergarten"
"SE_G1t8E","Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Elementary school (grades 1-8)"
"SE_G1t8M","Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Elementary school (grades 1-8)"
"SE_G1t8P","Percent; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Elementary school (grades 1-8)"
"SE_G1t8Z","Percent Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Elementary school (grades 1-8)"
"SE_G9t12E","Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - High school (grades 9-12)"
"SE_G9t12M","Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - High school (grades 9-12)"
"SE_G9t12P","Percent; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - High school (grades 9-12)"
"SE_G9t12Z","Percent Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - High school (grades 9-12)"
"SE_ClgGScE","Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - College or graduate school"
"SE_ClgGScM","Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - College or graduate school"
"SE_ClgGScP","Percent; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - College or graduate school"
"SE_ClgGScZ","Percent Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - College or graduate school"
"EA_P25plE","Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over"
"EA_P25plM","Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over"
"EA_P25plP","Percent; EDUCATIONAL ATTAINMENT - Population 25 years and over"
"EA_P25plZ","Percent Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over"
"EA_LT9GE","Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than 9th grade"
"EA_LT9GM","Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than 9th grade"
"EA_LT9GP","Percent; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than 9th grade"
"EA_LT9GZ","Percent Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than 9th grade"
"EA_9t12NDE","Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - 9th to 12th grade, no diploma"
"EA_9t12NDM","Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - 9th to 12th grade, no diploma"
"EA_9t12NDP","Percent; EDUCATIONAL ATTAINMENT - Population 25 years and over - 9th to 12th grade, no diploma"
"EA_9t12NDZ","Percent Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - 9th to 12th grade, no diploma"
"EA_HScGrdE","Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency)"
"EA_HScGrdM","Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency)"
"EA_HScGrdP","Percent; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency)"
"EA_HScGrdZ","Percent Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency)"
"EA_SClgNDE","Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college, no degree"
"EA_SClgNDM","Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college, no degree"
"EA_SClgNDP","Percent; EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college, no degree"
"EA_SClgNDZ","Percent Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college, no degree"
"EA_AscDE","Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Associate's degree"
"EA_AscDM","Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Associate's degree"
"EA_AscDP","Percent; EDUCATIONAL ATTAINMENT - Population 25 years and over - Associate's degree"
"EA_AscDZ","Percent Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Associate's degree"
"EA_BchDE","Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree"
"EA_BchDM","Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree"
"EA_BchDP","Percent; EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree"
"EA_BchDZ","Percent Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree"
"EA_GrdPfDE","Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree"
"EA_GrdPfDM","Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree"
"EA_GrdPfDP","Percent; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree"
"EA_GrdPfDZ","Percent Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree"
"PctHSGrdHE","Estimate; EDUCATIONAL ATTAINMENT - Percent high school graduate or higher"
"PctHSGrdHM","Margin of Error; EDUCATIONAL ATTAINMENT - Percent high school graduate or higher"
"PctHSGrdHP","Percent; EDUCATIONAL ATTAINMENT - Percent high school graduate or higher"
"PctHSGrdHZ","Percent Margin of Error; EDUCATIONAL ATTAINMENT - Percent high school graduate or higher"
"PctBchDHE","Estimate; EDUCATIONAL ATTAINMENT - Percent bachelor's degree or higher"
